Date,Dernier,Ouv., Plus Haut,Plus Bas
17/08/2000,0.9164,0.9162,0.9175,0.9114
18/08/2000,0.9065,0.9163,0.9187,0.9057
21/08/2000,0.9021,0.9072,0.9078,0.9007
22/08/2000,0.8971,0.9022,0.9036,0.8942
23/08/2000,0.9012,0.8973,0.902,0.8908
24/08/2000,0.9022,0.9024,0.9057,0.8995
25/08/2000,0.9022,0.9019,0.9074,0.8974
28/08/2000,0.9,0.9024,0.9045,0.8984
29/08/2000,0.8924,0.8996,0.9024,0.8906
30/08/2000,0.8945,0.8923,0.8949,0.8867
31/08/2000,0.8888,0.8949,0.8974,0.8839
01/09/2000,0.8998,0.8887,0.9019,0.8875
04/09/2000,0.8978,0.8998,0.9041,0.8964
05/09/2000,0.89,0.8979,0.8993,0.885
06/09/2000,0.8699,0.89,0.8901,0.8685
07/09/2000,0.8721,0.8718,0.8768,0.8633
08/09/2000,0.8662,0.8722,0.8751,0.8636
11/09/2000,0.8581,0.8643,0.8725,0.8565
12/09/2000,0.8637,0.8586,0.8691,0.855
13/09/2000,0.8596,0.8637,0.8705,0.8582
14/09/2000,0.8645,0.8602,0.8741,0.8568
15/09/2000,0.8536,0.8646,0.8702,0.8528
18/09/2000,0.8536,0.8532,0.8577,0.8512
19/09/2000,0.8513,0.8547,0.8567,0.8477
20/09/2000,0.8493,0.8513,0.852,0.8439
21/09/2000,0.8617,0.8493,0.8618,0.8458
22/09/2000,0.8761,0.8609,0.9025,0.8571
25/09/2000,0.8745,0.8799,0.8832,0.8712
26/09/2000,0.8828,0.8746,0.884,0.8726
27/09/2000,0.8833,0.8831,0.8887,0.8782
28/09/2000,0.8794,0.8834,0.8867,0.8768
29/09/2000,0.8839,0.8793,0.8853,0.8747
02/10/2000,0.8774,0.8843,0.8861,0.8761
03/10/2000,0.8756,0.8775,0.879,0.8727
04/10/2000,0.8752,0.876,0.8781,0.8717
05/10/2000,0.869,0.8747,0.879,0.8679
06/10/2000,0.8685,0.8694,0.8744,0.8662
09/10/2000,0.8683,0.8693,0.8715,0.8662
10/10/2000,0.8717,0.8683,0.8746,0.8659
11/10/2000,0.8659,0.8719,0.8768,0.8655
12/10/2000,0.8625,0.8654,0.8683,0.8613
13/10/2000,0.8563,0.8629,0.8663,0.853
16/10/2000,0.85,0.8547,0.8558,0.8458
17/10/2000,0.8542,0.8503,0.8562,0.8473
18/10/2000,0.8392,0.8542,0.8579,0.8327
19/10/2000,0.8434,0.8387,0.8455,0.838
20/10/2000,0.8421,0.843,0.8482,0.835
23/10/2000,0.8356,0.8415,0.8427,0.8347
24/10/2000,0.8359,0.8354,0.8407,0.8344
25/10/2000,0.8273,0.836,0.8389,0.8246
26/10/2000,0.8303,0.8268,0.8326,0.8227
27/10/2000,0.8396,0.8309,0.8443,0.8285
30/10/2000,0.8401,0.8411,0.8532,0.8389
31/10/2000,0.8493,0.8407,0.8501,0.838
01/11/2000,0.8616,0.8488,0.8619,0.8468
02/11/2000,0.8597,0.8618,0.8671,0.8554
03/11/2000,0.8667,0.8585,0.88,0.8574
06/11/2000,0.8614,0.8669,0.8733,0.8557
07/11/2000,0.8605,0.8617,0.867,0.8577
08/11/2000,0.8558,0.8602,0.8692,0.8516
09/11/2000,0.8663,0.8559,0.8675,0.8518
10/11/2000,0.8604,0.8666,0.8708,0.8592
13/11/2000,0.8596,0.8622,0.8667,0.858
14/11/2000,0.8581,0.8562,0.8618,0.8549
15/11/2000,0.8574,0.8578,0.8637,0.8554
16/11/2000,0.8521,0.8576,0.8601,0.8515
17/11/2000,0.8489,0.8532,0.8579,0.8474
20/11/2000,0.8513,0.8495,0.8524,0.8461
21/11/2000,0.8434,0.8515,0.8535,0.8415
22/11/2000,0.8443,0.8434,0.8489,0.8412
23/11/2000,0.8383,0.8452,0.8459,0.8374
24/11/2000,0.8386,0.839,0.8458,0.8375
27/11/2000,0.8516,0.8392,0.8529,0.8384
28/11/2000,0.8568,0.8521,0.8582,0.8503
29/11/2000,0.8578,0.8563,0.8661,0.8555
30/11/2000,0.8724,0.8574,0.8736,0.8566
01/12/2000,0.8787,0.8725,0.8797,0.8701
04/12/2000,0.8894,0.8788,0.8936,0.8757
05/12/2000,0.8799,0.8882,0.891,0.8783
06/12/2000,0.8915,0.8798,0.8922,0.877
07/12/2000,0.8896,0.8921,0.8978,0.8854
08/12/2000,0.8863,0.8903,0.8919,0.8808
11/12/2000,0.8761,0.8825,0.8866,0.875
12/12/2000,0.8791,0.8777,0.8841,0.8751
13/12/2000,0.877,0.8793,0.882,0.8715
14/12/2000,0.8907,0.8769,0.8918,0.8756
15/12/2000,0.8956,0.8932,0.9003,0.8903
18/12/2000,0.8938,0.8944,0.9021,0.8923
19/12/2000,0.8945,0.8947,0.8971,0.8881
20/12/2000,0.9097,0.8953,0.9102,0.8947
21/12/2000,0.9163,0.9093,0.9175,0.9057
22/12/2000,0.9244,0.9166,0.9265,0.9145
25/12/2000,0.9253,0.9236,0.9279,0.9196
26/12/2000,0.9311,0.9262,0.9326,0.9236
27/12/2000,0.9306,0.9306,0.9344,0.9271
28/12/2000,0.9296,0.9306,0.9319,0.9244
29/12/2000,0.9424,0.9294,0.9427,0.9277
01/01/2001,0.9407,0.9422,0.9429,0.939
02/01/2001,0.9498,0.9425,0.9514,0.9363
03/01/2001,0.9283,0.9508,0.9572,0.9274
04/01/2001,0.9493,0.9275,0.9523,0.9264
05/01/2001,0.958,0.9499,0.9597,0.9465
08/01/2001,0.9478,0.9576,0.9594,0.9465
09/01/2001,0.9456,0.9471,0.948,0.9381
10/01/2001,0.9367,0.9442,0.9468,0.9364
11/01/2001,0.9531,0.9364,0.9554,0.9364
12/01/2001,0.952,0.9527,0.9584,0.9469
15/01/2001,0.9425,0.9519,0.9532,0.9409
